iter	Passed	Remaining
0	567	244681
1	1015	218280
2	1468	209949
3	1918	205230
4	2395	204559
5	2859	203038
6	3321	201648
7	3790	200878
8	4247	199643
9	4706	198609
10	5166	197731
11	5594	195824
12	6058	195277
13	6548	195516
14	6999	194599
15	7450	193714
16	7897	192795
17	8315	191248
18	8738	189953
19	9249	190530
20	9732	190481
21	10183	189779
22	10598	188476
23	11038	187662
24	11508	187365
25	11953	186652
26	12447	186709
27	12873	185745
28	13310	184968
29	13725	183926
30	14191	183576
31	14617	182717
32	15036	181805
33	15479	181205
34	15956	180990
35	16445	180898
36	16911	180542
37	17392	180336
38	17830	179677
39	18311	179451
40	18778	179083
41	19213	178415
42	19728	178474
43	20144	177638
44	20566	176871
45	21044	176586
46	21500	176117
47	21993	175947
48	22454	175508
49	22912	175049
50	23360	174515
51	23841	174227
52	24316	173883
53	24728	173098
54	25180	172600
55	25617	172006
56	26060	171449
57	26499	170875
58	26933	170274
59	27376	169736
60	27846	169360
61	28248	168578
62	28694	168068
63	29137	167540
64	29599	167121
65	30099	166915
66	30579	166588
67	31037	166140
68	31453	165472
69	31888	164906
70	32354	164506
71	32831	164158
72	33282	163676
73	33719	163131
74	34133	162476
75	34560	161890
76	35015	161433
77	35444	160861
78	35888	160364
79	36308	159755
80	36723	159135
81	37154	158587
82	37562	157942
83	38010	157472
84	38428	156879
85	38886	156450
86	39304	155863
87	39753	155398
88	40187	154878
89	40595	154261
90	41045	153806
91	41495	153352
92	41916	152791
93	42316	152158
94	42762	151695
95	43252	151384
96	43690	150890
97	44106	150322
98	44603	150030
99	45023	149478
100	45496	149102
101	45935	148615
102	46358	148076
103	46781	147541
104	47210	147028
105	47648	146542
106	48070	146007
107	48516	145549
108	48934	145007
109	49363	144501
110	49811	144050
111	50231	143519
112	50679	143069
113	51110	142571
114	51551	142104
115	51993	141636
116	52438	141181
117	52865	140676
118	53317	140238
119	53769	139800
120	54172	139238
121	54586	138703
122	54985	138133
123	55398	137602
124	55859	137191
125	56310	136753
126	56722	136222
127	57160	135756
128	57628	135361
129	58055	134866
130	58502	134421
131	58945	133967
132	59364	133458
133	59796	132980
134	60235	132517
135	60680	132069
136	61155	131684
137	61603	131242
138	62114	130932
139	62529	130419
140	62971	129961
141	63430	129540
142	63832	129003
143	64302	128604
144	64720	128101
145	65176	127675
146	65635	127253
147	66075	126794
148	66510	126324
149	66979	125921
150	67491	125596
151	67992	125249
152	68417	124760
153	68843	124275
154	69302	123849
155	69746	123397
156	70235	123024
157	70672	122557
158	71154	122170
159	71582	121690
160	72009	121208
161	72422	120704
162	72880	120275
163	73338	119845
164	73773	119379
165	74203	118904
166	74640	118442
167	75068	117964
168	75513	117515
169	75931	117023
170	76382	116583
171	76834	116144
172	77293	115716
173	77727	115251
174	78200	114843
175	78395	114029
176	78816	113549
177	79275	113124
178	79705	112656
179	80187	112262
180	80639	111825
181	81061	111347
182	81530	110934
183	81961	110469
184	82402	110019
185	82849	109574
186	83301	109138
187	83710	108645
188	84147	108189
189	84655	107824
190	85155	107447
191	85605	107006
192	86001	106499
193	86414	106013
194	86862	105570
195	87294	105109
196	87735	104659
197	88171	104202
198	88608	103747
199	89068	103319
200	89551	102916
201	90020	102498
202	90472	102060
203	90904	101599
204	91358	101162
205	91782	100693
206	92230	100251
207	92673	99802
208	93125	99363
209	93539	98884
210	93956	98408
211	94382	97943
212	94794	97465
213	95239	97019
214	95676	96566
215	96098	96098
216	96606	95716
217	97013	95233
218	97435	94766
219	97833	94275
220	98263	93817
221	98682	93347
222	99144	92920
223	99629	92513
224	99819	91833
225	100220	91351
226	100665	90908
227	100855	90239
228	101264	89766
229	101681	89303
230	102098	88839
231	102519	88378
232	102926	87907
233	103336	87438
234	103750	86973
235	104230	86564
236	104684	86132
237	104873	85484
238	105310	85041
239	106360	85088
240	106808	84649
241	107278	84227
242	107715	83778
243	108158	83335
244	108564	82863
245	109002	82416
246	109193	81784
247	109383	81155
248	109573	80529
249	109762	79906
250	109964	79297
251	110189	78706
252	110415	78120
253	110606	77511
254	110795	76905
255	110984	76301
256	111173	75701
257	112325	75754
258	112531	75166
259	112719	74568
260	113006	74038
261	113195	73447
262	113383	72858
263	113571	72272
264	113761	71691
265	114188	71260
266	114377	70682
267	114566	70107
268	114754	69535
269	114944	68966
270	115145	68407
271	115555	67973
272	116010	67566
273	116199	67005
274	116390	66448
275	116598	65903
276	116788	65350
277	116996	64810
278	117428	64396
279	117847	63974
280	118048	63435
281	118237	62892
282	118426	62351
283	118642	61827
284	118830	61291
285	119294	60898
286	119493	60371
287	119690	59845
288	119878	59317
289	120307	58909
290	120722	58494
291	121161	58091
292	121383	57584
293	121854	57197
294	122067	56689
295	122280	56183
296	122740	55790
297	122952	55287
298	123166	54786
299	123569	54370
300	124013	53972
301	124219	53471
302	124649	53068
303	125083	52666
304	125545	52276
305	125995	51880
306	126201	51385
307	126636	50983
308	126865	50499
309	127071	50008
310	127550	49625
311	127762	49139
312	127968	48652
313	128174	48167
314	128601	47766
315	128809	47284
316	129015	46803
317	129430	46399
318	129867	46003
319	130079	45527
320	130303	45058
321	130708	44651
322	131123	44249
323	131341	43780
324	131773	43383
325	131985	42915
326	132479	42539
327	132685	42070
328	133112	41673
329	133536	41274
330	134017	40893
331	134235	40432
332	134693	40044
333	135105	39641
334	135557	39251
335	136000	38857
336	136433	38460
337	136661	38006
338	137082	37606
339	137486	37202
340	137910	36803
341	138337	36404
342	138828	36022
343	139286	35631
344	139497	35177
345	139706	34724
346	139913	34272
347	140346	33876
348	140556	33427
349	140764	32979
350	141217	32588
351	141661	32195
352	141890	31754
353	142315	31357
354	142525	30914
355	142980	30523
356	143194	30082
357	143683	29699
358	144099	29301
359	144547	28909
360	144978	28513
361	145414	28118
362	145876	27728
363	146342	27338
364	146557	26902
365	146773	26467
366	147231	26076
367	147678	25683
368	148095	25284
369	148528	24888
370	148978	24495
371	149385	24094
372	149837	23700
373	150270	23303
374	150485	22873
375	150977	22486
376	151430	22091
377	151837	21691
378	152311	21299
379	152740	20901
380	153183	20504
381	153602	20105
382	154051	19708
383	154457	19307
