iter	Logloss
0	0.689992229
10	0.6751458562
20	0.6700568692
30	0.6674653085
40	0.6657977867
50	0.6645992554
60	0.6637242613
70	0.6629507186
80	0.6622933606
90	0.6617451174
100	0.6612760774
110	0.6608870318
120	0.6605013976
130	0.6601439444
140	0.659825104
150	0.6595378065
160	0.6592525856
170	0.6590403879
180	0.6588005036
190	0.6585755009
200	0.6583847108
210	0.6581984693
220	0.6580288397
230	0.6579265478
240	0.6577848519
250	0.6577044126
260	0.6577025338
270	0.6576918547
280	0.6576369266
290	0.6575888706
300	0.6575029929
310	0.6574133082
320	0.6573751897
330	0.6572771002
340	0.6571844986
350	0.657117062
360	0.6570451759
370	0.656951882
380	0.656830605
390	0.6567641079
400	0.6566759558
410	0.6566112879
420	0.6566046135
430	0.6565856284
431	0.6565857768
