iter	Logloss
0	0.6900188892
10	0.6753279859
20	0.6702196434
30	0.6676837899
40	0.6659718132
50	0.6648170805
60	0.6638897247
70	0.6631525172
80	0.6624644535
90	0.661952497
100	0.6614746544
110	0.6610570798
120	0.6606431638
130	0.6603220971
140	0.6599984594
150	0.6597449779
160	0.6595521105
170	0.6592999638
180	0.6590898416
190	0.6589043902
200	0.6588221212
210	0.6587315462
220	0.6585673542
230	0.6584014319
240	0.6582324442
250	0.6581068158
260	0.6579720904
270	0.6578837402
280	0.6577932146
290	0.6576932954
300	0.6575966392
310	0.6575105632
320	0.6574078753
330	0.657357001
340	0.6573538368
350	0.6573308469
360	0.6573309953
370	0.6573226893
380	0.6573225904
390	0.6573222937
400	0.657290108
410	0.6572419529
420	0.6572422495
430	0.6572009667
431	0.6571895954
