iter	Passed	Remaining
0	600	258958
1	1057	227344
2	1510	215983
3	1978	211699
4	2453	209504
5	2893	205423
6	3373	204826
7	3856	204402
8	4314	202778
9	4747	200326
10	5236	200422
11	5694	199305
12	6150	198224
13	6626	197857
14	7072	196603
15	7564	196684
16	7975	194703
17	8470	194817
18	8937	194282
19	9356	192736
20	9825	192308
21	10267	191348
22	10801	192078
23	11242	191123
24	11737	191078
25	12194	190418
26	12636	189548
27	13071	188602
28	13513	187792
29	13942	186824
30	14379	186003
31	14783	184794
32	15227	184114
33	15671	183450
34	16097	182595
35	16518	181702
36	16970	181173
37	17418	180600
38	17892	180298
39	18369	180016
40	18821	179491
41	19336	179548
42	19757	178736
43	20201	178136
44	20643	177538
45	21150	177476
46	21592	176878
47	22035	176285
48	22463	175579
49	22905	175000
50	23339	174359
51	23794	173883
52	24235	173309
53	24656	172595
54	25086	171954
55	25558	171607
56	26029	171246
57	26462	170637
58	26957	170427
59	27395	169853
60	27860	169445
61	28275	168741
62	28689	168041
63	29140	167555
64	29589	167064
65	30035	166561
66	30445	165857
67	30874	165269
68	31329	164818
69	31784	164369
70	32223	163838
71	32708	163543
72	33134	162947
73	33580	162457
74	34015	161914
75	34462	161430
76	34854	160691
77	35302	160217
78	35792	159933
79	36239	159453
80	36728	159157
81	37161	158614
82	37590	158061
83	38010	157473
84	38472	157057
85	38911	156551
86	39321	155930
87	39744	155364
88	40185	154873
89	40616	154343
90	41070	153900
91	41527	153471
92	41976	153010
93	42389	152420
94	42812	151870
95	43244	151356
96	43678	150849
97	44098	150294
98	44515	149733
99	44935	149184
100	45388	148748
101	45814	148224
102	46239	147698
103	46640	147096
104	47110	146714
105	47553	146248
106	47984	145747
107	48392	145177
108	48809	144636
109	49232	144117
110	49706	143744
111	50135	143243
112	50555	142717
113	50984	142220
114	51390	141658
115	51826	141182
116	52248	140669
117	52688	140205
118	53194	139914
119	53684	139579
120	54121	139105
121	54571	138665
122	54993	138155
123	55413	137639
124	55884	137251
125	56353	136858
126	56784	136371
127	57237	135938
128	57701	135531
129	58111	134998
130	58562	134560
131	59017	134130
132	59448	133647
133	59897	133204
134	60341	132750
135	60779	132284
136	61210	131803
137	61685	131416
138	62110	130922
139	62540	130442
140	62982	129984
141	63404	129488
142	63807	128953
143	64258	128517
144	64669	128000
145	65097	127520
146	65561	127109
147	66038	126722
148	66473	126255
149	66886	125747
150	67383	125396
151	67810	124913
152	68236	124430
153	68648	123923
154	69087	123466
155	69532	123018
156	69947	122519
157	70368	122031
158	70558	121146
159	70747	120271
160	71223	119886
161	71684	119474
162	72114	119010
163	72562	118578
164	72994	118118
165	73423	117654
166	73613	116812
167	74044	116355
168	74233	115523
169	74424	114700
170	74859	114259
171	75045	113441
172	75485	113009
173	75919	112569
174	76338	112108
175	76765	111659
176	77219	111247
177	77652	110807
178	78090	110373
179	78279	109591
180	78481	108833
181	78943	108438
182	79358	107979
183	79804	107562
184	80236	107126
185	80675	106700
186	81107	106264
187	81294	105509
188	81483	104765
189	81671	104023
190	81871	103303
191	82279	102849
192	82465	102120
193	82653	101399
194	83065	100956
195	83253	100244
196	83440	99535
197	83866	99114
198	84316	98722
199	84504	98025
200	84908	97581
201	85336	97165
202	85745	96727
203	86184	96324
204	86617	95913
205	87080	95534
206	87493	95102
207	87910	94672
208	88303	94218
209	88724	93794
210	89165	93391
211	89615	92997
212	90067	92604
213	90486	92177
214	90943	91789
215	91397	91397
216	91825	90979
217	92243	90551
218	92635	90097
219	93067	89682
220	93477	89247
221	93870	88796
222	94345	88422
223	94800	88029
224	95219	87601
225	95664	87198
226	96118	86803
227	96550	86387
228	96735	85752
229	97192	85360
230	97621	84943
231	98045	84522
232	98458	84091
233	98875	83664
234	99301	83243
235	99705	82806
236	100143	82396
237	100366	81811
238	100787	81389
239	101218	80974
240	101676	80581
241	102097	80159
242	102546	79758
243	102773	79186
244	103001	78617
245	103255	78071
246	103703	77672
247	103954	77127
248	104414	76738
249	104874	76348
250	105318	75946
251	105773	75552
252	106273	75189
253	106719	74787
254	107185	74399
255	107662	74017
256	108070	73588
257	108336	73064
258	108738	72632
259	109215	72250
260	109659	71846
261	110108	71444
262	110564	71046
263	111061	70675
264	111507	70270
265	111936	69854
266	112378	69447
267	112871	69070
268	113319	68666
269	113746	68247
270	114210	67851
271	114444	67320
272	114668	66784
273	115122	66384
274	115572	65981
275	115798	65451
276	116006	64913
277	116450	64508
278	116877	64094
279	117319	63687
280	117774	63288
281	118210	62877
282	118658	62473
283	119081	62056
284	119554	61664
285	119981	61249
286	120406	60832
287	120845	60422
288	121252	59996
289	121677	59579
290	122126	59174
291	122584	58773
292	122770	58242
293	122959	57715
294	123432	57322
295	123864	56910
296	124301	56500
297	124786	56112
298	124975	55590
299	126129	55496
300	126387	55005
301	126576	54486
302	127021	54078
303	127206	53560
304	127424	53058
305	127837	52638
306	128024	52127
307	128480	51725
308	128666	51216
309	128851	50709
310	129312	50311
311	129708	49887
312	130157	49484
313	130548	49059
314	131006	48659
315	131230	48173
316	131670	47766
317	131861	47271
318	132233	46841
319	132440	46354
320	132663	45874
321	133101	45469
322	133529	45061
323	133968	44656
324	134392	44246
325	134849	43846
326	135265	43433
327	135761	43046
328	135960	42565
329	136145	42081
330	136344	41603
331	136616	41149
332	136806	40672
333	137202	40256
334	137387	39780
335	137573	39306
336	138020	38907
337	138472	38510
338	138862	38094
339	139270	37684
340	139728	37288
341	139955	36830
342	140410	36432
343	140637	35977
344	140865	35522
345	141094	35069
346	141530	34668
347	141737	34212
348	141924	33752
349	142344	33349
350	142577	32902
351	142798	32454
352	142986	31999
353	143186	31549
354	143646	31157
355	143897	30719
356	144339	30323
357	144526	29874
358	144955	29475
359	145209	29041
360	145627	28641
361	145815	28196
362	146281	27805
363	146472	27362
364	146662	26921
365	146848	26480
366	147034	26041
367	147220	25603
368	147407	25167
369	147595	24732
370	147796	24300
371	147982	23868
372	148169	23437
373	148356	23007
374	148544	22578
375	148732	22151
376	148919	21725
377	149115	21302
378	149300	20878
379	149541	20463
380	149740	20043
381	149925	19623
382	150111	19204
383	150298	18787
384	150485	18371
385	150674	17956
386	150860	17541
387	151046	17128
388	151232	16717
389	151420	16306
390	151618	15898
391	151806	15490
392	151993	15083
393	152179	14677
394	152365	14272
395	152550	13868
396	152736	13465
397	152922	13063
398	153108	12663
399	153291	12263
400	153513	11867
401	153700	11470
402	153965	11079
403	154153	10683
404	154341	10289
405	154529	9895
406	154718	9503
407	154907	9112
408	155095	8721
409	155283	8332
410	155484	7944
411	155673	7556
412	155862	7170
413	156050	6784
414	156258	6400
415	156467	6017
416	156697	5636
417	156886	5254
418	157096	4874
419	157305	4494
420	157511	4115
421	157733	3737
422	157922	3360
423	158111	2983
424	158321	2607
425	158511	2232
426	159023	1862
427	159233	1488
428	159422	1114
429	159611	742
430	159833	370
431	160053	0
