iter	Logloss
0	0.6900020468
10	0.6753315232
20	0.6701803193
30	0.6677080975
40	0.6660698871
50	0.6648464329
60	0.6638896607
70	0.6631320842
80	0.6624851555
90	0.661962619
100	0.6614898692
110	0.6610311109
120	0.6606351421
130	0.6602819887
140	0.6600210419
150	0.6597923796
160	0.659593975
170	0.6594185602
180	0.6592156564
190	0.6590336166
200	0.6589285061
210	0.6588537026
220	0.6587434998
230	0.6585968099
240	0.6584757796
250	0.6583740805
260	0.6583230085
270	0.6582944814
280	0.6582943825
290	0.6582251164
300	0.6580933575
310	0.6579804849
320	0.6578573286
330	0.6577437144
340	0.6576937301
350	0.6576689109
360	0.6575967773
370	0.6575356688
380	0.657529736
390	0.6574852395
400	0.6574192365
410	0.6574028717
420	0.6573292548
430	0.6573129889
431	0.6573043863
