iter	Logloss
0	0.6900158842
10	0.6752739046
20	0.6701555414
30	0.6676249857
40	0.6659025823
50	0.6647781601
60	0.6638696934
70	0.663108559
80	0.6624281112
90	0.6618834267
100	0.661417303
110	0.6609876662
120	0.6605976806
130	0.6602159021
140	0.6599054661
150	0.6595961177
160	0.6593700764
170	0.6591372617
180	0.6589445926
190	0.6587856912
200	0.6585988561
210	0.6584881097
220	0.658422799
230	0.6583412718
240	0.658236656
250	0.6580824515
260	0.6580056212
270	0.6578994727
280	0.6577884791
290	0.657733452
300	0.6577239594
310	0.6576373893
320	0.657530697
330	0.657442446
340	0.6574043769
350	0.6573958237
360	0.6573905336
370	0.6573907808
380	0.6573907314
390	0.6573911269
400	0.6573907808
410	0.6573904347
420	0.6573903358
430	0.657390237
431	0.6573902864
