iter	Passed	Remaining
0	577	248824
1	1034	222353
2	1484	212279
3	1925	206046
4	2407	205626
5	2848	202218
6	3322	201742
7	3805	201685
8	4256	200045
9	4689	197879
10	5178	198211
11	5660	198122
12	6112	197011
13	6525	194829
14	6971	193818
15	7422	192984
16	7872	192174
17	8364	192389
18	8777	190801
19	9263	190835
20	9743	190696
21	10177	189663
22	10593	188382
23	11055	187948
24	11509	187381
25	11965	186853
26	12399	185986
27	12844	185321
28	13277	184514
29	13756	184334
30	14197	183650
31	14650	183132
32	15077	182294
33	15531	181813
34	16000	181493
35	16427	180707
36	16856	179954
37	17298	179354
38	17764	179014
39	18216	178525
40	18674	178094
41	19135	177686
42	19591	177235
43	20000	176365
44	20506	176351
45	20979	176048
46	21409	175373
47	21829	174638
48	22271	174077
49	22702	173449
50	23157	172998
51	23614	172564
52	24052	171999
53	24512	171587
54	24961	171101
55	25436	170785
56	25879	170257
57	26317	169701
58	26773	169263
59	27215	168736
60	27676	168328
61	28160	168057
62	28586	167437
63	29018	166855
64	29477	166435
65	29937	166016
66	30350	165342
67	30798	164862
68	31262	164466
69	31732	164102
70	32248	163967
71	32663	163318
72	33103	162795
73	33573	162421
74	34031	161988
75	34469	161462
76	34868	160759
77	35295	160187
78	35711	159572
79	36189	159232
80	36665	158885
81	37098	158347
82	37497	157672
83	37941	157184
84	38390	156723
85	38822	156191
86	39261	155692
87	39695	155175
88	40126	154645
89	40547	154080
90	40991	153607
91	41463	153235
92	41887	152687
93	42295	152082
94	42729	151576
95	43202	151208
96	43622	150654
97	44057	150155
98	44514	149730
99	44922	149142
100	45385	148738
101	45818	148236
102	46263	147774
103	46725	147366
104	47161	146873
105	47607	146415
106	48040	145917
107	48522	145567
108	48916	144955
109	49351	144465
110	49809	144043
111	50242	143550
112	50668	143037
113	51099	142541
114	51497	141954
115	51932	141470
116	52427	141150
117	52838	140604
118	53312	140224
119	53772	139807
120	54267	139479
121	54697	138984
122	55109	138444
123	55550	137981
124	56003	137544
125	56429	137042
126	56878	136597
127	57333	136166
128	57806	135777
129	58244	135306
130	58696	134867
131	59136	134402
132	59558	133894
133	59997	133426
134	60406	132894
135	60833	132403
136	61266	131924
137	61682	131410
138	62155	131017
139	62602	130571
140	63018	130059
141	63502	129688
142	63949	129241
143	64411	128823
144	64827	128314
145	65272	127862
146	65724	127425
147	66173	126981
148	66617	126529
149	67099	126146
150	67589	125779
151	68019	125299
152	68453	124827
153	68873	124329
154	69274	123800
155	69702	123320
156	70133	122845
157	70562	122367
158	70999	121904
159	71435	121439
160	71886	121001
161	72326	120543
162	72772	120096
163	73172	119573
164	73639	119161
165	74068	118687
166	74494	118209
167	74933	117752
168	75336	117239
169	75770	116775
170	76201	116307
171	76408	115500
172	76854	115060
173	77279	114586
174	77741	114169
175	78171	113703
176	78597	113233
177	79056	112810
178	79482	112340
179	79956	111939
180	80392	111483
181	80851	111060
182	81297	110617
183	81511	109863
184	82010	109494
185	82431	109021
186	82856	108554
187	83066	107809
188	83512	107372
189	83947	106922
190	84423	106523
191	84880	106100
192	85311	105644
193	85734	105179
194	86208	104776
195	86663	104350
196	87109	103912
197	87524	103438
198	87949	102975
199	88384	102525
200	88806	102061
201	89253	101625
202	89440	100896
203	89869	100442
204	90321	100014
205	90745	99556
206	91145	99071
207	91548	98590
208	91771	97919
209	91957	97212
210	92433	96814
211	92835	96339
212	93043	95663
213	93229	94971
214	93679	94550
215	93904	93904
216	94336	93466
217	94771	93032
218	95179	92571
219	95366	91898
220	95599	91274
221	95825	90645
222	96267	90223
223	96711	89803
224	96934	89179
225	97121	88526
226	97311	87880
227	97724	87437
228	98141	86998
229	98555	86557
230	98959	86107
231	99418	85705
232	99824	85257
233	100049	84657
234	100458	84213
235	101073	83942
236	101535	83541
237	101742	82932
238	102196	82526
239	102591	82072
240	103052	81672
241	103473	81239
242	103964	80861
243	104388	80430
244	104851	80029
245	105282	79604
246	105690	79161
247	106128	78740
248	106562	78316
249	107021	77911
250	107482	77507
251	107691	76922
252	107899	76339
253	108361	75938
254	108859	75561
255	109309	75150
256	109517	74573
257	109976	74170
258	110385	73732
259	110787	73290
260	111009	72730
261	111216	72163
262	111466	71626
263	111674	71065
264	112142	70670
265	112564	70247
266	112989	69824
267	113429	69412
268	113849	68986
269	114278	68566
270	114779	68190
271	115260	67800
272	115680	67374
273	116165	66985
274	116604	66570
275	117073	66172
276	117282	65627
277	117488	65083
278	117928	64670
279	118367	64256
280	118566	63713
281	119029	63313
282	119216	62767
283	119684	62370
284	119871	61828
285	120307	61415
286	120514	60887
287	120720	60360
288	120927	59836
289	121133	59313
290	121331	58789
291	121517	58261
292	121940	57849
293	122126	57324
294	122314	56803
295	122514	56290
296	122706	55775
297	122893	55260
298	123099	54756
299	123285	54245
300	123484	53742
301	123670	53235
302	124090	52830
303	124512	52426
304	124918	52015
305	125354	51616
306	125800	51221
307	126224	50817
308	126667	50420
309	127106	50022
310	127552	49626
311	127994	49228
312	128416	48822
313	128842	48418
314	129293	48023
315	129732	47623
316	130170	47222
317	130560	46804
318	131001	46404
319	131243	45935
320	131697	45540
321	132163	45149
322	132592	44744
323	132842	44280
324	133257	43872
325	133699	43472
326	134127	43068
327	134578	42671
328	135008	42267
329	135446	41865
330	135667	41397
331	136139	41005
332	136388	40547
333	136612	40083
334	137049	39682
335	137256	39216
336	137463	38750
337	137691	38293
338	137898	37830
339	138123	37374
340	138561	36976
341	138766	36517
342	139013	36070
343	139221	35614
344	139428	35160
345	139656	34712
346	140098	34318
347	140306	33867
348	140493	33412
349	140715	32967
350	140950	32527
351	141370	32129
352	141596	31688
353	141788	31241
354	141980	30795
355	142166	30350
356	142355	29906
357	142546	29464
358	142738	29024
359	142930	28586
360	143133	28150
361	143342	27718
362	143561	27288
363	143754	26855
364	143946	26423
365	144138	25992
366	144346	25565
367	144539	25137
368	144731	24710
369	144918	24283
370	145116	23860
371	145415	23454
372	145607	23031
373	145797	22610
374	145994	22191
375	146196	21773
376	146401	21358
377	146592	20941
378	146778	20525
379	146965	20111
380	147169	19699
381	147355	19287
382	147542	18876
383	147730	18466
384	147940	18060
385	148150	17655
386	148361	17251
387	148550	16845
388	148737	16441
389	148946	16040
390	149147	15639
391	149357	15240
392	149544	14840
393	149731	14441
394	149919	14043
395	150106	13646
396	150294	13250
397	150482	12855
398	150674	12461
399	150867	12069
400	151072	11678
401	151280	11289
402	151474	10900
403	151667	10511
404	151880	10125
405	152071	9738
406	152263	9352
407	152475	8969
408	152678	8585
409	152871	8202
410	153070	7821
411	153261	7439
412	153450	7059
413	153639	6679
414	153844	6302
415	154038	5924
416	154250	5548
417	154450	5172
418	154643	4798
419	154833	4423
420	155040	4050
421	155228	3678
422	155419	3306
423	155607	2935
424	155796	2566
425	155989	2197
426	156177	1828
427	156389	1461
428	156576	1094
429	156769	729
430	156974	364
431	157172	0
